CHEBI:49093	G07641LG
CHEBI:49092	G06644RA
CHEBI:47693	G98468VS
CHEBI:49024	G15311NE
CHEBI:49022	G70854DZ
CHEBI:45744	G76571JT
CHEBI:41917	G44379HX
CHEBI:4250	G77832WU
CHEBI:49728	G47242XC
CHEBI:49182	G04988XL
CHEBI:47968	G34354NT
CHEBI:22388	G99174TV
CHEBI:50417	G64029GC
CHEBI:50259	G24618XK
CHEBI:50258	G43512RT
CHEBI:50257	G77492WA
CHEBI:50256	G93529IJ
CHEBI:50255	G61488WF
CHEBI:50254	G06107IE
CHEBI:2233	G15380AW
CHEBI:16261	G19577LJ
CHEBI:27380	G71142DF
CHEBI:18246	G71142DF
CHEBI:17029	G49108TO
CHEBI:28330	G01418RR
CHEBI:27517	G71142DF
CHEBI:28681	G07982RO
CHEBI:37671	G71142DF
CHEBI:50670	G42666HT
CHEBI:4808	G49747RS
CHEBI:50565	G87743YN
CHEBI:50661	G15200YU
CHEBI:50678	G42231HN
CHEBI:50677	G61071JD
CHEBI:50676	G58167JD
CHEBI:50675	G83234UJ
CHEBI:50668	G17559DG
CHEBI:50672	G05026ZL
CHEBI:51834	G72615DV
CHEBI:51833	G84821IS
CHEBI:18269	G58161NS
CHEBI:21498	G40982TX
CHEBI:17618	G02595KU
CHEBI:52417	G50353CY
CHEBI:16137	G12916RQ
CHEBI:52472	G10203DW
CHEBI:17174	G97423JA
CHEBI:18250	G20228HQ
CHEBI:17831	G47876BP
CHEBI:52742	G46575RX
CHEBI:27554	G40150JA
CHEBI:52996	G95422KZ
CHEBI:52997	G07870US
CHEBI:17954	G26857FX
CHEBI:53480	G61406KC
CHEBI:53482	G63819MN
CHEBI:53484	G74724PV
CHEBI:53485	G39326NV
CHEBI:53489	G62939GO
CHEBI:53549	G96044KA
CHEBI:53445	G51379UR
CHEBI:53451	G07490EK
CHEBI:53453	G80926OA
CHEBI:53455	G53308XG
CHEBI:53456	G46476BP
CHEBI:53458	G20624LQ
CHEBI:53462	G74709XZ
CHEBI:53464	G80513FH
CHEBI:53465	G92612ZM
CHEBI:53469	G64799PD
CHEBI:53494	G79573XO
CHEBI:53495	G79216TC
CHEBI:53500	G04043HT
CHEBI:53501	G48216RS
CHEBI:111006	G94797AL
CHEBI:111508	G11795CV
CHEBI:111509	G47600JB
CHEBI:111514	G20934UH
CHEBI:111514	G10444WU
CHEBI:120723	G89581YY
CHEBI:125365	G32196CC
CHEBI:125392	G78453GC
CHEBI:125684	G58150MG
CHEBI:132305	G99421OG
CHEBI:132307	G84281ML
CHEBI:132308	G57427QT
CHEBI:132805	G70445WZ
CHEBI:133015	G02540QB
CHEBI:133343	G17826MG
CHEBI:133503	G45058HZ
CHEBI:133506	G00056MO
CHEBI:133507	G00055MO
CHEBI:133780	G33088YO
CHEBI:133800	G21526AV
CHEBI:133801	G02891BL
CHEBI:133802	G61070SB
CHEBI:133804	G95697IK
CHEBI:133904	G27483FW
CHEBI:133926	G08908FU
CHEBI:133983	G06309FM
CHEBI:134026	G32573YA
CHEBI:134214	G29036BC
CHEBI:134275	G36112OD
CHEBI:134311	G02020XQ
CHEBI:134389	G50320OW
CHEBI:134538	G36792FX
CHEBI:134539	G24406UR
CHEBI:135311	G11283PA
CHEBI:136097	G08176ED
CHEBI:136431	G03330ED
CHEBI:136504	G19354UQ
CHEBI:136506	G35705GP
CHEBI:136602	G37582GI
CHEBI:136746	G83292CK
CHEBI:136750	G79194CY
CHEBI:136752	G66780OM
CHEBI:136754	G92903KH
CHEBI:136822	G67006KT
CHEBI:136823	G79694JG
CHEBI:136858	G24449QM
CHEBI:137226	G09117QF
CHEBI:137240	G39973MT
CHEBI:137466	G49725XD
CHEBI:137468	G60980EP
CHEBI:137558	G79239BA
CHEBI:137637	G81156UI
CHEBI:137645	G48149VA
CHEBI:137666	G63886NL
CHEBI:137690	G89099LU
CHEBI:138207	G16079KZ
CHEBI:138210	G35718QG
CHEBI:138484	G99201WP
CHEBI:138485	G29169IA
CHEBI:138677	G17219LE
CHEBI:138678	G58077WX
CHEBI:138679	G40967YY
CHEBI:138680	G90831KA
CHEBI:138681	G73053PN
CHEBI:138682	G09846IP
CHEBI:138683	G01871HO
CHEBI:138684	G92417BR
CHEBI:138685	G08415CQ
CHEBI:138686	G96934QC
CHEBI:138687	G12157FB
CHEBI:138688	G39725XP
CHEBI:138689	G62838IP
CHEBI:138690	G44304UI
CHEBI:138692	G22954FD
CHEBI:138693	G27251IC
CHEBI:138694	G34852RF
CHEBI:138695	G39123FZ
CHEBI:138696	G85566ZI
CHEBI:138697	G97015NM
CHEBI:138698	G54227RG
CHEBI:138707	G92598CL
CHEBI:138708	G56305UV
CHEBI:138709	G13420YS
CHEBI:138710	G26920WX
CHEBI:138711	G88016IC
CHEBI:138712	G29057GU
CHEBI:138713	G76925AY
CHEBI:138714	G26097PL
CHEBI:138715	G98814RL
CHEBI:138716	G97423JA
CHEBI:138717	G69038UV
CHEBI:138719	G70805NP
CHEBI:138720	G32123ZH
CHEBI:138801	G01704HY
CHEBI:138874	G54703RV
CHEBI:138937	G48723MN
CHEBI:139100	G47100PE
CHEBI:139103	G69004OS
CHEBI:139377	G45893GG
CHEBI:139419	G27530CI
CHEBI:139426	G57324GT
CHEBI:139447	G55251MD
CHEBI:139586	G62332IV
CHEBI:140448	G85774XI
CHEBI:140500	G77178JP
CHEBI:140522	G91169HN
CHEBI:140774	G41366RG
CHEBI:140775	G92130SN
CHEBI:140808	G30039XA
CHEBI:140812	G60933SR
CHEBI:140813	G63163TD
CHEBI:140814	G69731NN
CHEBI:140815	G31028UQ
CHEBI:140816	G78367SN
CHEBI:140824	G74860XW
CHEBI:140825	G94972HI
CHEBI:140826	G12608RE
CHEBI:140827	G72496UQ
CHEBI:140828	G30681AV
CHEBI:140829	G61554PK
CHEBI:140839	G62732ZA
CHEBI:140840	G71832SF
CHEBI:140841	G20671VB
CHEBI:140842	G75907MC
CHEBI:140843	G50632ZE
CHEBI:140844	G02890SH
CHEBI:140845	G97303IH
CHEBI:140846	G36899SX
CHEBI:140847	G35918OV
CHEBI:140848	G68331MU
CHEBI:140851	G93330RH
CHEBI:140852	G46201PZ
CHEBI:140853	G91300JA
CHEBI:140923	G90290QZ
CHEBI:140924	G97860RU
CHEBI:140925	G05889HU
CHEBI:140926	G05609SX
CHEBI:140993	G62863MI
CHEBI:140995	G30459KI
CHEBI:140996	G87001VB
CHEBI:140999	G33575EC
CHEBI:141006	G11876JO
CHEBI:141215	G30093HX
CHEBI:141392	G56354FT
CHEBI:141418	G92776DG
CHEBI:141842	G19298OA
CHEBI:141846	G68935MX
CHEBI:142388	G87635ID
CHEBI:142460	G86562DX
CHEBI:142494	G28165JK
CHEBI:142634	G42982FZ
CHEBI:142755	G93658GH
CHEBI:143137	G76095VM
CHEBI:143141	G81262CB
CHEBI:143142	G98511QW
CHEBI:143145	G08176ED
CHEBI:143180	G78800HY
CHEBI:143181	G21745UQ
CHEBI:143182	G03116ET
CHEBI:143183	G49764YU
CHEBI:143194	G22490RY
CHEBI:143528	G20358QB
CHEBI:143624	G38028NH
CHEBI:143625	G56026PA
CHEBI:144042	G45110II
CHEBI:144332	G94146YV
CHEBI:144361	G28184KC
CHEBI:144363	G59055KC
CHEBI:144364	G14511SS
CHEBI:144503	G89193IC
CHEBI:144571	G77214GZ
CHEBI:144571	G87034UZ
CHEBI:145026	G37207IR
CHEBI:145348	G02249HH
CHEBI:145350	G93481SY
CHEBI:145436	G76270BT
CHEBI:145454	G92147QP
CHEBI:145460	G08664LZ
CHEBI:145577	G00039MO
CHEBI:145578	G00061MO
CHEBI:145579	G03067VG
CHEBI:145580	G03277YI
CHEBI:145581	G05189JQ
CHEBI:145582	G08770AU
CHEBI:145583	G14371GV
CHEBI:145584	G14622KK
CHEBI:145585	G15195YB
CHEBI:145586	G16647VS
CHEBI:145587	G16870CD
CHEBI:145588	G18253ON
CHEBI:145589	G18438YA
CHEBI:145590	G19620XJ
CHEBI:145591	G20228HQ
CHEBI:145592	G20291UE
CHEBI:145593	G21469TE
CHEBI:145594	G22046GD
CHEBI:145595	G24034CH
CHEBI:145596	G24324FL
CHEBI:145597	G24620AI
CHEBI:145598	G26459QM
CHEBI:145599	G27775IZ
CHEBI:145600	G27854BF
CHEBI:145601	G29084XK
CHEBI:145602	G30567WW
CHEBI:145603	G31761VE
CHEBI:145604	G32397EL
CHEBI:145605	G32430MQ
CHEBI:145606	G38419CD
CHEBI:145607	G39578OU
CHEBI:145608	G39767HX
CHEBI:145609	G39851TR
CHEBI:145610	G43547MI
CHEBI:145612	G44865OQ
CHEBI:145613	G45215IJ
CHEBI:145614	G46392BZ
CHEBI:145615	G47876BP
CHEBI:145616	G48148JS
